method,n,seed,initial_jobs,initial_job_target_training_size,initial_parallelism,status,init_status,train_status,init_return_code,train_return_code,target_points,best_pre_saturation_score,best_post_saturation_score,hit_target,target_gap,result_status,generation_reached,termination_reason,elapsed_seconds,elapsed_minutes,target_training_size,batch_size,initial_keep_best_fraction,train_keep_best_fraction,max_epochs,max_steps,device,num_workers,timeout_seconds,experiment_name,init_log,train_log
patternboost,10,2,20,100,10,completed,completed,completed,0,0,20,18,20,1,0,solved,1,target_reached,263.61,4.39,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260701_104255_N10_S2,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N10/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N10/training.log
patternboost,11,2,20,100,10,completed,completed,completed,0,0,22,20,22,1,0,solved,3,target_reached,664.3,11.07,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260701_104255_N11_S2,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N11/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N11/training.log
patternboost,12,2,20,100,10,completed,completed,completed,0,0,24,23,24,1,0,solved,9,target_reached,1884.21,31.4,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260701_104255_N12_S2,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N12/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N12/training.log
patternboost,13,2,20,100,10,timeout,completed,timeout,0,,26,24,25,0,1,timeout,32,wrapper_timeout,7200.2,120.0,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260701_104255_N13_S2,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N13/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N13/training.log
patternboost,14,2,20,100,10,timeout,completed,timeout,0,,28,24,27,0,1,timeout,30,wrapper_timeout,7200.58,120.01,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260701_104255_N14_S2,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N14/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N14/training.log
patternboost,15,2,20,100,10,timeout,completed,timeout,0,,30,26,28,0,2,timeout,27,wrapper_timeout,7200.22,120.0,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260701_104255_N15_S2,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N15/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N15/training.log
patternboost,16,2,20,100,10,timeout,completed,timeout,0,,32,26,30,0,2,timeout,24,wrapper_timeout,7201.0,120.02,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260701_104255_N16_S2,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N16/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N16/training.log
patternboost,17,2,20,100,10,timeout,completed,timeout,0,,34,27,32,0,2,timeout,21,wrapper_timeout,7201.02,120.02,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260701_104255_N17_S2,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N17/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N17/training.log
patternboost,18,2,20,100,10,timeout,completed,timeout,0,,36,28,33,0,3,timeout,18,wrapper_timeout,7200.93,120.02,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260701_104255_N18_S2,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N18/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N18/training.log
patternboost,19,2,20,100,10,timeout,completed,timeout,0,,38,29,34,0,4,timeout,14,wrapper_timeout,7200.25,120.0,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260701_104255_N19_S2,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N19/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260701_104255/N19/training.log
