method,n,seed,initial_jobs,initial_job_target_training_size,initial_parallelism,status,init_status,train_status,init_return_code,train_return_code,target_points,best_pre_saturation_score,best_post_saturation_score,hit_target,target_gap,result_status,generation_reached,termination_reason,elapsed_seconds,elapsed_minutes,target_training_size,batch_size,initial_keep_best_fraction,train_keep_best_fraction,max_epochs,max_steps,device,num_workers,timeout_seconds,experiment_name,init_log,train_log
patternboost,10,1,20,100,10,completed,completed,completed,0,0,20,18,20,1,0,solved,1,target_reached,265.84,4.43,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260630_200749_N10_S1,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N10/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N10/training.log
patternboost,11,1,20,100,10,completed,completed,completed,0,0,22,21,22,1,0,solved,2,target_reached,500.04,8.33,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260630_200749_N11_S1,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N11/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N11/training.log
patternboost,12,1,20,100,10,completed,completed,completed,0,0,24,22,24,1,0,solved,6,target_reached,1335.88,22.26,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260630_200749_N12_S1,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N12/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N12/training.log
patternboost,13,1,20,100,10,timeout,completed,timeout,0,,26,24,25,0,1,timeout,33,wrapper_timeout,7200.28,120.0,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260630_200749_N13_S1,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N13/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N13/training.log
patternboost,14,1,20,100,10,timeout,completed,timeout,0,,28,25,27,0,1,timeout,30,wrapper_timeout,7200.71,120.01,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260630_200749_N14_S1,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N14/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N14/training.log
patternboost,15,1,20,100,10,timeout,completed,timeout,0,,30,27,29,0,1,timeout,26,wrapper_timeout,7200.3,120.0,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260630_200749_N15_S1,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N15/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N15/training.log
patternboost,16,1,20,100,10,timeout,completed,timeout,0,,32,26,30,0,2,timeout,24,wrapper_timeout,7200.96,120.02,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260630_200749_N16_S1,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N16/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N16/training.log
patternboost,17,1,20,100,10,timeout,completed,timeout,0,,34,27,32,0,2,timeout,21,wrapper_timeout,7200.87,120.01,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260630_200749_N17_S1,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N17/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N17/training.log
patternboost,18,1,20,100,10,timeout,completed,timeout,0,,36,29,33,0,3,timeout,18,wrapper_timeout,7200.16,120.0,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260630_200749_N18_S1,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N18/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N18/training.log
patternboost,19,1,20,100,10,timeout,completed,timeout,0,,38,28,34,0,4,timeout,14,wrapper_timeout,7200.31,120.01,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260630_200749_N19_S1,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N19/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260630_200749/N19/training.log
